product_id,generic_product,vader_polarity,BiLSTM_polarity,BERT_polarity
B07FN93WW7,Printer,0.9561,0.13555312156677246,0.9977849125862122
B01LXL1AR8,Router,0.98645,0.9530766606330872,0.9988527297973632
B08FDPW8KR,Speaker,0.98005,0.9716699123382568,0.9991821646690368
B08QXJM323,Laptop,0.9029,0.6928537487983704,0.9986534118652344
B01F5PSKGA,Laptop,0.5,0.3562306761741638,0.013904046267271042
B086GPHS71,Headphones,0.98305,0.9610989093780518,0.9990528225898744
B08H2H89K1,Laptop,0.98895,0.7937554717063904,0.9990009665489196
B088YN9LBK,monitor,0.98285,0.9284113645553589,0.9988388419151306
B08LPN41F4,Speaker,0.8953,0.9334740042686462,0.9992244243621826
B00FB45SI4,Router,0.8257,0.16294370591640472,0.001699908287264407
B08KZSCRL4,Keyboard,0.9821,0.9517205953598022,0.9990742206573486
B08H6YZY3Y,Laptop,0.85165,0.9450268149375916,0.9992125034332277
B08PCCXXJ2,Printer,0.23404999999999998,0.1392589807510376,0.008825145661830902
B0837DX77S,Speaker,0.05509999999999998,0.1408500075340271,0.984317421913147
B07H5B75SY,Laptop,0.9953000000000001,0.6749535799026489,0.9969080090522766
B08KTWXCZT,Router,0.12240000000000001,0.22433699667453766,0.001639552996493876
B07C4V4WWF,Printer,0.996,0.4108339548110962,0.0028664579149335627
B07743412C,monitor,0.9147000000000001,0.8884468078613281,0.9978649020195008
B08K26TJNP,monitor,0.8238,0.8521206378936768,0.9991549253463744
B08KGYDR16,Laptop,0.5703,0.1234159842133522,0.0014155262615531685
B01BQ8S45M,Keyboard,0.6386000000000001,0.027518119663000107,0.0013354243710637093
B01BQ8S45M,Keyboard,0.91355,0.7293428778648376,0.9991055130958556
B08529BZSQ,Laptop,0.9773000000000001,0.36931705474853516,0.998290240764618
B089FMHP7J,Speaker,0.7383500000000001,0.09443235397338867,0.0016119880601763725
B07FKMM3GX,Keyboard,0.9983500000000001,0.5445626378059387,0.8921064138412476
B016Y2BVKA,Keyboard,0.9903500000000001,0.4473709464073181,0.0015709716826677322
B07TZXPDXP,Data Storage,0.79755,0.4142676293849945,0.9981472492218018
B00IRV005E,Data Storage,0.06159999999999999,0.05752217769622803,0.0028036159928888087
B08W48NYC9,Headphones,0.29905000000000004,0.03385524824261665,0.0013019063044339418
B016P9HJIA,Speaker,0.98645,0.6047893166542053,0.0013334144605323672
B078HZWYDM,Television,0.02889999999999998,0.03655917942523956,0.002515673171728849
B085W8VLS7,Television,0.9889,0.9864295721054077,0.9993081092834472
B08J2F6732,Router,0.7202,0.9130982160568237,0.9989018440246582
B07H5B75SY,Laptop,0.8544499999999999,0.07852533459663391,0.0021598583552986388
B07P85CDHG,Speaker,0.9052,0.5169407725334167,0.001562667777761817
B0894DBTRV,Laptop,0.97385,0.9755231142044067,0.9993289709091188
B08N38VPL7,Laptop,0.71075,0.9871811270713806,0.999220609664917
B07W7FF8QQ,Printer,0.12245,0.03708212450146675,0.0036492878571152687
B08DHFX4FV,Television,0.4614,0.169880211353302,0.0012150886468589304
B07G9XZ83W,Television,0.7336,0.13008031249046326,0.001958030741661787
B07HCH26MC,Data Storage,0.92405,0.9642809629440308,0.9991672039031982
B08N38VPL7,Laptop,0.8982,0.9365233182907104,0.999299168586731
B07K5214NZ,Headphones,0.88645,0.042692117393016815,0.001388906268402934
B08KTWXCZT,Router,0.98695,0.1681957244873047,0.9718619585037231
B08Q45Q44C,Speaker,0.9712000000000001,0.3180761933326721,0.9976878166198729
B01HD6ZLIY,Data Storage,0.94025,0.9180927276611328,0.9987467527389526
B07HCH26MC,Data Storage,0.9615,0.9600207209587097,0.999179184436798
B07CL4GLQW,Television,0.85405,0.0606028251349926,0.0037820907309651375
B08BT9DZQW,monitor,0.92925,0.9672849774360657,0.9990615248680116
B08JQ4L1LS,Smartphone,0.31235,0.032455574721097946,0.004742880817502737
B00JKM0A36,Data Storage,0.77755,0.3450978398323059,0.002114471746608615
B083ZYLGGR,Printer,0.8453999999999999,0.17063866555690765,0.0014413971221074462
B08GL2HKLT,Smartphone,0.96265,0.5642179846763611,0.2518998682498932
B07JVQY8W1,Television,0.9478500000000001,0.9543936848640442,0.9991390705108644
B000J1FABY,Speaker,0.77115,0.800836443901062,0.9173664450645448
B08LPN41F4,Speaker,0.9425,0.34234145283699036,0.1969500035047531
B08H8VZ6PV,Smartphone,0.9614,0.8986842036247253,0.9991084933280944
B08X6P923G,Data Storage,0.5258,0.31168922781944275,0.0017910440219566226
B089V2R9WW,monitor,0.96855,0.968048095703125,0.9992086291313172
B08BF4CZSV,monitor,0.9942500000000001,0.6699626445770264,0.999123513698578
B07CRG94G3,Data Storage,0.92405,0.981572151184082,0.9991921782493592
B01CQOV3YO,Speaker,0.71625,0.1871240884065628,0.0027085451874881983
B089V2R9WW,monitor,0.9559,0.9338045120239258,0.99420964717865
B0756QFLXP,Router,0.98535,0.1978798359632492,0.0016764099709689615
B08KXJJT6Y,Keyboard,0.15960000000000002,0.008789567276835442,0.003413041587918997
B08BCBJP71,Television,0.9169,0.3232441246509552,0.9988403916358948
B0758NHWS8,Data Storage,0.98855,0.36364099383354187,0.7067148685455322
B088NKZT13,Smartphone,0.026349999999999985,0.029600204899907112,0.0033819503150880337
B0716X489L,Television,0.7825500000000001,0.0922611728310585,0.005616250447928906
B083FMP35T,monitor,0.65445,0.32904160022735596,0.6095499396324158
B088C4J8W7,Television,0.9802500000000001,0.9791265726089478,0.9992375373840332
B073ZNKK7P,Speaker,0.7589,0.027616024017333984,0.0017311532283201814
B07D3GB4N3,Keyboard,0.9869,0.9590513110160828,0.9989965558052064
B07628HLTM,Router,0.97795,0.9391741752624512,0.9988641738891602
B083JT5JRZ,Data Storage,0.9707,0.9738466739654541,0.9991366267204284
B07DRG6ZVD,Keyboard,0.96075,0.9416695237159729,0.99890398979187
B083ZY9FJG,Printer,0.97385,0.2507988214492798,0.0014891054015606642
B08DKZM85T,Headphones,0.99095,0.9657964706420898,0.9991474151611328
B08Q45Q44C,Speaker,0.9986999999999999,0.9816538095474243,0.9978943467140198
B07L9282JK,Router,0.0338,0.17136897146701813,0.9950605034828186
B07DMMG7QY,Speaker,0.9883,0.954952597618103,0.999100923538208
B01M0GB8CC,Headphones,0.9922500000000001,0.47426941990852356,0.9987862706184388
B08N2FRMPN,Smartphone,0.5,0.6743358373641968,0.9933685660362244
B07FN93WW7,Printer,0.36545,0.16242928802967072,0.005245374049991368
B08511FZLG,Television,0.5258,0.8450164794921875,0.998789370059967
B07D34L57F,Keyboard,0.9700500000000001,0.14242544770240784,0.9876455664634703
